study,dose,log_rr,se,variance,n_participants,n_deaths
VitD_Study_1,40,0.10375912888591701,0.026148818018424544,0.0006837606837606841,2093,234
VitD_Study_1,90,0.04715640539668675,0.0346843987809648,0.0012030075187969924,596,133
VitD_Study_1,120,0.5253409890355097,0.025607375986579195,0.0006557377049180328,1442,244
VitD_Study_2,25,0.3641865409830092,0.08528028654224418,0.007272727272727274,2347,22
VitD_Study_2,60,-0.028167552137848564,0.03922322702763681,0.0015384615384615387,539,104
VitD_Study_2,90,0.15211124654799457,0.03666793988112845,0.0013445378151260505,1659,119
VitD_Study_2,120,0.63080379654806,0.0282842712474619,0.0008,2928,200
VitD_Study_3,25,0.1238218247445686,0.035634832254989916,0.0012698412698412696,2204,126
VitD_Study_3,40,0.00449548148053417,0.023448415270421966,0.000549828178694158,4742,291
VitD_Study_3,120,0.4001124145955046,0.02998126755983446,0.0008988764044943821,2289,178
VitD_Study_4,40,0.12139191506888686,0.03276927682076162,0.0010738255033557046,3816,149
VitD_Study_4,90,0.18501774929916992,0.023570226039551584,0.0005555555555555556,2504,288
VitD_Study_4,120,0.5448826339654486,0.08728715609439695,0.007619047619047619,4037,21
VitD_Study_5,40,0.038960296551057566,0.03076923076923077,0.0009467455621301776,4735,169
VitD_Study_5,60,-0.08184053014182717,0.02394737360356999,0.0005734767025089607,4599,279
VitD_Study_5,120,0.4352313697507074,0.025712973861329005,0.0006611570247933886,3564,242
VitD_Study_6,25,0.266968639093016,0.03429971702850177,0.0011764705882352944,2402,136
VitD_Study_6,40,0.14916864049864872,0.023448415270421966,0.000549828178694158,4642,291
VitD_Study_6,120,0.5777048106931995,0.02407717061715384,0.0005797101449275362,3887,276
VitD_Study_7,25,0.18719721493627528,0.03212877315609996,0.0010322580645161293,2496,155
VitD_Study_7,60,0.006486506073781035,0.03392755718719884,0.0011510791366906475,1843,139
VitD_Study_7,90,0.14553684260892016,0.024343224778007384,0.0005925925925925927,3028,270
VitD_Study_8,25,0.08391753444563384,0.040824829046386304,0.001666666666666667,4459,96
VitD_Study_8,90,0.06562006526963066,0.03212877315609996,0.0010322580645161293,2021,155
VitD_Study_8,120,0.44009654876325016,0.02429826956923148,0.0005904059040590405,1952,271
VitD_Study_9,25,0.2104347858278617,0.02715376933208523,0.0007373271889400923,3787,217
VitD_Study_9,60,-0.002625994180188107,0.06488856845230502,0.0042105263157894745,1057,38
VitD_Study_9,120,0.5244073776451241,0.028718326344709524,0.000824742268041237,3023,194
VitD_Study_10,25,0.12929062862829227,0.04961389383568338,0.0024615384615384616,3007,65
VitD_Study_10,40,0.009226071397098613,0.03508232077228117,0.0012307692307692308,781,130
VitD_Study_10,60,-0.06594570155172787,0.02394737360356999,0.0005734767025089607,4079,279
VitD_Study_11,25,0.26539970632936155,0.057735026918962574,0.003333333333333333,3823,48
VitD_Study_11,60,0.046716621729552425,0.02394737360356999,0.0005734767025089607,2468,279
VitD_Study_11,90,0.1343848777233969,0.02807449625374386,0.000788177339901478,1231,203
VitD_Study_12,40,0.05675728860582031,0.0428845013935118,0.0018390804597701153,1805,87
VitD_Study_12,90,0.15430694337007816,0.025555062599997597,0.0006530612244897959,2391,245
VitD_Study_12,120,0.48742652569456985,0.025819888974716113,0.0006666666666666666,4251,240
VitD_Study_13,25,0.16847189720118935,0.03779644730092272,0.0014285714285714284,3616,112
VitD_Study_13,40,0.020310904528843182,0.03417430630867044,0.001167883211678832,3378,137
VitD_Study_13,60,-0.06208431696471668,0.02480694691784169,0.0006153846153846154,3140,260
VitD_Study_13,90,0.1280487651807016,0.032991443953692905,0.00108843537414966,3012,147
VitD_Study_14,25,0.07229883904586956,0.04529108136578383,0.0020512820512820513,2139,78
VitD_Study_14,40,0.0460800980867586,0.046816458878452226,0.002191780821917808,3338,73
VitD_Study_14,60,-0.05407568515422666,0.05714285714285714,0.0032653061224489793,4073,49
VitD_Study_15,25,0.07982646836310889,0.03980148760839957,0.0015841584158415845,2990,101
VitD_Study_15,60,-0.08148873328061794,0.02998126755983446,0.0008988764044943821,3858,178
VitD_Study_15,90,0.089774603359037,0.07698003589195011,0.005925925925925927,4122,27
VitD_Study_15,120,0.5545468739992029,0.02940858488375231,0.0008648648648648649,3166,185
