study,dose,log_rr,se,variance,n_cases,n_controls
Study_1,0.0,-0.12843322982118177,0.04286448039424883,0.0018373636794689425,171,666
Study_1,12.5,-0.07533446659371407,0.037665206891470064,0.001418667810177244,264,530
Study_1,25.0,0.03196939925493161,0.027271457063537233,0.0007437323703683549,409,1887
Study_1,50.0,0.31102283430691574,0.03900660051303945,0.0015215148835838492,180,1885
Study_1,75.0,0.9409289996826078,0.028084035008545265,0.000788713022361196,463,1005
Study_2,0.0,-0.23857935149646128,0.03589843856006281,0.0012886978910506047,219,1699
Study_2,12.5,-0.04466032975092734,0.035603627316916936,0.0012676182781219138,237,1175
Study_2,25.0,0.0045478743281492295,0.02886406926529621,0.0008331344945518174,495,762
Study_2,75.0,0.908610253412944,0.027294535734879076,0.0007449916809825908,413,1790
Study_3,0.0,-0.21840058354647465,0.03639241782858181,0.0013244080754100792,216,1497
Study_3,12.5,0.03998154996582003,0.05175784625756355,0.0026788746492215853,102,1097
Study_3,50.0,0.25885609032012524,0.038752807008789976,0.0015017800510605216,389,291
Study_4,0.0,-0.2271269519179253,0.051772923824422896,0.002680435641329496,99,1611
Study_4,50.0,0.1753571516368357,0.0416919237864418,0.0017382165090144715,155,1995
Study_4,75.0,0.9160061141009899,0.029041998099527812,0.000843437653612977,359,1700
Study_5,0.0,-0.20206388504051562,0.0350176140497816,0.0012262332937394615,262,919
Study_5,12.5,0.03677368372696155,0.03688956434975108,0.001360839957914426,329,416
Study_5,25.0,-0.02223317184692862,0.038426027846949,0.0014765596160945,301,387
Study_5,75.0,0.9305744578126093,0.06966505362783909,0.004853219696969696,64,264
Study_6,12.5,-0.015927453021503175,0.03234939127951633,0.0010464831161552473,468,488
Study_6,25.0,0.06403978813562823,0.026633862854169583,0.0007093626505347144,428,1996
Study_6,75.0,0.996142430167842,0.06320803936814702,0.003995256240765224,77,334
Study_7,0.0,-0.1520160443592082,0.03962222011123844,0.001569920326543428,342,298
Study_7,25.0,0.12231949547806428,0.03743650611004296,0.001401491989727284,221,925
Study_7,75.0,1.06776903877969,0.04260322310798705,0.001815034619188922,150,1685
Study_8,0.0,-0.1740875165221417,0.034371127513169196,0.0011813744065265364,442,406
Study_8,12.5,-0.1282011381007792,0.06361553702017916,0.004046936550365786,64,1777
Study_8,25.0,-0.003737851560797324,0.029813322153444698,0.0008888341778250764,401,942
Study_8,50.0,0.3290228993276804,0.034492360935372474,0.001189722962896009,290,763
Study_8,75.0,0.9241509689317843,0.0336101318484813,0.001129640962872297,456,430
Study_9,12.5,0.11931012569019682,0.0327490621621608,0.0010725010725010722,333,777
Study_9,50.0,0.37641571582891314,0.03836978423321345,0.0014722403421033557,219,756
Study_9,75.0,1.027585722460146,0.03083165384225168,0.0009505908786484327,333,1251
Study_10,0.0,-0.22774638252383916,0.032678454613705464,0.001067881395940008,274,1608
Study_10,12.5,-0.027294072586336177,0.02743824185578211,0.0007528571161363934,426,1506
Study_10,50.0,0.23577310089779724,0.03248408503959559,0.0010552157808596779,282,1482
Study_10,75.0,0.8036445835810297,0.029795513098275227,0.0008877726007894906,408,909
Study_11,12.5,0.0014172093628080553,0.03742091144835562,0.0014003246136256725,201,1597
Study_11,50.0,0.24548382619112,0.035760715950209285,0.0012788288052715526,229,1336
Study_11,75.0,0.9108186633505825,0.02874974343000379,0.0008265477472910462,367,1720
Study_12,0.0,-0.2865049203916324,0.04195726765663436,0.0017604123092104555,162,1151
Study_12,12.5,-0.12261362421221748,0.04464646409190678,0.0019933067559099213,179,419
Study_12,25.0,-0.03363863187303325,0.05161759503186202,0.002664376116873307,103,1054
Study_12,50.0,0.19740938951417722,0.02621895732907746,0.0006874337234239847,452,1861
Study_12,75.0,0.8552621034297324,0.03990705212845243,0.0015925728095830195,179,1276
Study_13,0.0,-0.260265688976956,0.0432452892088802,0.00187015503875969,172,600
Study_13,12.5,-0.0006909200605747859,0.027022447377861213,0.0007302126622892784,421,1833
Study_13,25.0,-0.02389812743264079,0.03498329260788577,0.0012238307616889552,247,1181
Study_13,50.0,0.2727506629594189,0.043449862656584966,0.0018878905648760968,146,1424
Study_13,75.0,0.9849810309591702,0.04574664030270087,0.0020927550989846954,173,386
Study_14,0.0,-0.13851268460034408,0.038784261963849855,0.0015042189760805305,197,1063
Study_14,12.5,-0.042067857153024975,0.03014740438884132,0.0009088659913843288,409,840
Study_14,25.0,0.0844008873259683,0.03410517629378477,0.0011631630500301385,316,672
Study_14,50.0,0.297635353442654,0.02927072193699093,0.000856775162712642,347,1834
Study_14,75.0,0.9253044103679227,0.03044831468381738,0.000927099867084769,312,1987
Study_15,12.5,0.059010427510468644,0.066948100229129,0.004482048124289503,58,1456
